127.0.0.1 - - [28/Jan/2025:13:04:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:05:23 +0530] "GET /employee-management HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:05:24 +0530] "GET /employee-management/ HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:05:25 +0530] "GET /employee-management/JS/script.js HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:05:25 +0530] "GET /employee-management/CSS/style.css HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:05:25 +0530] "GET /employee-management/CSS/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:05:54 +0530] "GET /employee-management/add.jsp HTTP/1.1" 200 2794
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:06:18 +0530] "POST /employee-management/save-record.jsp HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:06:54 +0530] "GET /employee-management/add.jsp HTTP/1.1" 200 2794
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:07:09 +0530] "POST /employee-management/save-record.jsp HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:07:11 +0530] "GET /employee-management/ HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:07:11 +0530] "GET /employee-management/ HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:07:23 +0530] "GET /employee-management/add.jsp HTTP/1.1" 200 2794
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:07:36 +0530] "POST /employee-management/save-record.jsp HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:08:30 +0530] "GET /employee-management HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:08:30 +0530] "GET /employee-management/ HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [28/Jan/2025:13:08:32 +0530] "GET /employee-management/list.jsp HTTP/1.1" 500 3606
